code,species,laboratory_species,Penicillin,Ceftriaxone,Vancomycin,Piperacillin-Tazobactam,Ciprofloxacin,Cefepime,Cotrimoxazole,Meropenem,Moxifloxacin,Amoxicillin-Clavulanic acid,Colistin,Tobramycin,Ceftazidime,Ceftolozane-Tazobactam,Ceftazidime-Avibactam,Ceftobiprole,Quinolones,Tigecycline,Levofloxacin,Fosfomycin,Amikacin,Imipenem,Minocycline,Gentamicin,Ceftarolin,Ampicillin-Sulbactam,Gentamicin_high_level,Aztreonam,Clindamycin,Amoxicillin,Metronidazole,Daptomycin,Ampicillin-Amoxicillin,Caspofungin,Voriconazole,Posaconazole,Amphotericin B,Itraconazole,Fluconazole,Erythromycin,Doxycycline,Isavuconazole,Anidulafungin,5-Fluorocytosine,Micafungin,Tetracycline,Azithromycin,Ertapenem,Fosfomycin-Trometamol,Norfloxacin,Cefpodoxime,Nitrofurantoin,Aminoglycosides,Chloramphenicol,Rifampicin_1mg-l,Rifampicin,Linezolid,Amoxicillin-Clavulanic acid_uncomplicated_HWI,Strepomycin_high_level,Teicoplanin,Cefuroxime,Penicillin_with_endokarditis,Penicillin_without_endokarditis,Meropenem_with_meningitis,Meropenem_without_meningitis,Cefazolin,Oxacillin,Fusidic acid,Streptomycin,Isoniazid_.1mg-l,Pyrazinamide,Ethambutol_5mg-l,Cefixime,Mupirocin,Vancomycin_GRD,Teicoplanin_GRD,Cefoxitin_screen,Penicillin_with_meningitis,Clarithromycin,Penicillin_with_other_infections,Penicillin_with_pneumonia,Meropenem_with_pneumonia
dd0c4030-fa98-4574-8e7a-63c526ce5c16_MALDI2,Enterobacter cloacae,Enterobacter cloacae-Gruppe,-,S,-,S,S,S,S,S,-,R,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ab94e57d-52ea-407e-8ae0-695cdc98ef28_MALDI2,Klebsiella oxytoca,Klebsiella oxytoca,-,S,-,R,S,R,S,R,-,R,S,S,R,-,-,-,-,-,S,-,S,R,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
c5525660-24f3-400c-a3ee-1288cc10ad8f_MALDI2,Staphylococcus epidermidis,Staphylococcus epidermidis,R,S,S,S,S,S,S,S,-,S,-,-,-,-,-,-,-,S,-,-,-,S,-,S,-,-,-,-,S,-,-,S,R,-,-,-,-,-,-,R,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,S,S,-,-,-,S,-,-,-,-,S,S,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a1f41758-2b0c-40d1-904d-15593adbddee_MALDI2,Staphylococcus aureus,Staphylococcus aureus,R,S,S,S,S,S,S,S,-,S,-,-,-,-,-,-,-,S,-,-,-,S,-,S,-,-,-,-,S,-,-,S,R,-,-,-,-,-,-,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,S,S,-,-,S,S,-,-,-,-,S,S,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-
c38d8235-f553-4225-aeae-5275a64f6130_MALDI2,Staphylococcus lugdunensis,Staphylococcus lugdunensis,S,S,S,S,S,S,S,S,-,S,-,-,-,-,-,-,-,S,-,-,-,S,-,S,-,-,-,-,S,-,-,S,S,-,-,-,-,-,-,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,S,S,-,-,S,S,-,-,-,-,S,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3af1651a-c20f-451c-a9d3-3e4c8d060d2d_MALDI2,Proteus mirabilis,Proteus mirabilis,-,S,-,S,S,S,S,S,-,S,R,S,S,-,-,-,-,-,S,-,S,I,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25ca44a6-e4eb-43d7-b788-ec150573b137_MALDI2,Citrobacter koseri,Citrobacter koseri,-,S,-,S,S,S,S,S,-,S,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9b1d8e34-d473-4038-bda9-a299990196e9_MALDI2,Citrobacter koseri,Citrobacter koseri,-,S,-,S,S,S,S,S,-,S,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
f2dce8c7-b465-414f-a364-28398a872419_MALDI2,Enterococcus faecium,Enterococcus faecium,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,R,-,-,R,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I,-,-,-,-,S,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
643caa07-fca6-4c82-b6b0-b7c0b9a1732b_MALDI2,Pseudomonas aeruginosa,Pseudomonas aeruginosa,-,-,-,S,S,S,-,S,-,-,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11399ec7-b46d-445d-961c-ee02cfcac287_MALDI2,Klebsiella pneumoniae,Klebsiella pneumoniae,-,R,-,R,S,I,R,S,-,R,S,R,R,-,-,-,-,-,S,-,I,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,R,S,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ee0a9ca8-a627-4119-9ce6-f634a212dc26_MALDI2,Klebsiella pneumoniae,Klebsiella pneumoniae,-,R,-,R,S,I,R,S,-,R,S,R,R,-,-,-,-,-,S,-,I,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,R,S,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
fb7b5876-50ee-4ab7-a705-f8d0952f5e34_MALDI2,Hafnia alvei,Hafnia alvei,-,S,-,S,S,S,S,S,-,R,R,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,R,S,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3c8c968b-6698-4a9d-8a14-eba52b8d402b_MALDI2,Hafnia alvei,Hafnia alvei,-,S,-,S,S,S,S,S,-,R,R,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,R,S,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4e992dd1-8ea4-4655-a7f9-db98b0df534e_MALDI2,Pseudomonas aeruginosa,Pseudomonas aeruginosa,-,-,-,S,S,S,-,I,-,-,S,S,S,-,-,-,-,-,S,-,S,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15c16b8f-e9e8-4441-a3c6-063ff112fb9f_MALDI2,Pasteurella multocida,Pasteurella multocida,-,S,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8a200e7f-75de-4a87-9eb8-821186d969d4_MALDI2,MIX!Acinetobacter pittii,Acinetobacter baumannii-Gruppe,-,R,-,S,S,S,S,S,-,-,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5d6ce048-25c9-4323-89d3-fc949e31c7f2_MALDI2,MIX!Acinetobacter pittii,Acinetobacter baumannii-Gruppe,-,R,-,S,S,S,S,S,-,-,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52cdb66a-0229-40a7-97df-ff5b079bef0a_MALDI2,Streptococcus agalactiae,Streptococcus agalactiae,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73305364-a499-4cee-981e-c700206b3044_MALDI2,Streptococcus agalactiae,Streptococcus agalactiae,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
365a38e0-5586-486b-ac59-07f54b86fa5f_MALDI2,Klebsiella pneumoniae,Klebsiella pneumoniae,-,S,-,S,S,S,S,S,-,S,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74b1cd96-26f2-4f79-afec-d7fc698323b8_MALDI2,Enterobacter cloacae,Enterobacter cloacae-Gruppe,-,S,-,S,S,S,S,S,-,R,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
b7085a36-49cc-44f6-8b5d-04a9f039ff70_MALDI2,Enterococcus faecalis,Enterococcus faecalis,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,-,-,S,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28964fbf-7ef4-4a61-a1fe-620bfa19356a_MALDI2,Staphylococcus aureus,Staphylococcus aureus,S,S,S,S,S,S,S,S,-,S,-,-,-,-,-,-,-,S,-,-,-,S,-,S,-,-,-,-,S,-,-,S,S,-,-,-,-,-,-,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,S,S,-,-,S,S,-,-,-,-,S,S,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-
0426260d-3afa-4b0c-9209-ded81de1e2bb_MALDI2,Escherichia coli,Escherichia coli,-,S,-,S,S,S,S,S,-,S,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,S,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7420b5ab-d3ee-4990-b907-a84bd82945ef_MALDI2,Proteus mirabilis,Proteus mirabilis,-,S,-,S,R,S,R,S,-,S,R,S,S,-,-,-,-,-,R,-,S,I,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
fe28cf99-3e6f-4c6b-a3ec-dd10df1b6777_MALDI2,Pseudomonas aeruginosa,Pseudomonas aeruginosa,-,-,-,S,S,S,-,S,-,-,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69e05ca3-62d8-4d75-92eb-ef912d8fc87a_MALDI2,Staphylococcus epidermidis,Staphylococcus epidermidis,R,R,S,R,S,R,S,R,-,R,-,-,-,-,-,-,-,S,-,-,-,R,-,S,-,-,-,-,S,-,-,S,R,-,-,-,-,-,-,R,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,S,S,-,-,-,R,-,-,-,-,R,R,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3248c82b-cf87-40a6-b358-f1c7b9a4aaac_MALDI2,Streptococcus pneumoniae,Streptococcus pneumoniae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,S,S,S,S,-
6760aaf6-15d7-4f31-85d6-bc6c723dca19_MALDI2,Klebsiella pneumoniae,Klebsiella pneumoniae,-,R,-,S,S,I,R,S,-,R,S,S,I,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4b473dd0-f49f-47b6-adb2-641671f83522_MALDI2,Escherichia coli,Escherichia coli,-,S,-,R,S,S,R,S,-,R,S,R,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20b6ee4c-bf4a-496e-823a-270b4cfc61de_MALDI2,Escherichia coli,Escherichia coli,-,S,-,R,S,S,R,S,-,R,S,R,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3ff7fa86-111f-4e25-b400-2954193c37cf_MALDI2,Staphylococcus epidermidis,Staphylococcus epidermidis,R,S,S,S,S,S,S,S,-,S,-,-,-,-,-,-,-,S,-,-,-,S,-,S,-,-,-,-,S,-,-,S,R,-,-,-,-,-,-,R,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,S,S,-,-,-,S,-,-,-,-,S,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91c9a886-21dc-408c-8438-ca865f68290d_MALDI2,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
eaf9a898-d52d-467e-9f64-bbb01d3c0de6_MALDI2,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63ac1b5f-b388-47de-8927-e5f7beae770a_MALDI2,Staphylococcus aureus,-,R,R,S,R,S,R,S,R,-,R,-,-,-,-,-,-,-,S,-,-,-,R,-,S,-,-,-,-,S,-,-,S,R,-,-,-,-,-,-,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,S,S,-,-,S,R,-,-,-,-,R,R,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-
cebd218a-0f81-40e5-b581-91e785af5a2e_MALDI2,Pseudomonas aeruginosa,Pseudomonas aeruginosa,-,-,-,S,R,S,-,S,-,-,S,S,S,-,-,-,-,-,R,-,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6216f4b9-a970-4c19-9bcd-1926a27540e2_MALDI2,Staphylococcus aureus,-,R,R,S,R,S,R,S,R,-,R,-,-,-,-,-,-,-,S,-,-,-,R,-,S,-,-,-,-,S,-,-,S,R,-,-,-,-,-,-,S,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,S,S,-,-,S,R,-,-,-,-,R,R,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-
b6e23988-6ac1-4e26-87b3-628e58f5a5bc_MALDI2,Serratia marcescens,Serratia marcescens,-,S,-,S,S,S,S,S,-,R,R,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
94cad051-96c6-4fb2-a0dc-d94969aa2be5_MALDI2,Pseudomonas aeruginosa,Pseudomonas aeruginosa,-,-,-,S,S,S,-,S,-,-,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0fa60283-fa48-4d79-a84f-61aa986bb969_MALDI2,Escherichia coli,Escherichia coli,-,S,-,S,R,S,R,S,-,S,S,S,S,-,-,-,-,-,R,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3613d6c2-d5be-4487-b091-007907450223_MALDI2,Enterococcus gallinarum,Enterococcus gallinarum,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,-,-,S,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,S,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97a9c2fa-24c1-4e7e-8e2f-1589e1aceba7_MALDI2,Klebsiella oxytoca,Klebsiella oxytoca,-,R,-,R,S,S,S,S,-,R,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,R,S,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
07771db7-6aee-4fb9-a7ad-ff11ab182b56_MALDI2,Klebsiella oxytoca,Klebsiella oxytoca,-,R,-,R,R,S,S,S,-,R,S,S,S,-,-,-,-,-,R,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7f95fb65-21b0-46a2-b25e-ec519aa1231e_MALDI2,Klebsiella variicola,Klebsiella variicola,-,S,-,S,S,S,S,S,-,S,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52ff4cb5-e74e-4bba-b0d8-14592642265a_MALDI2,Staphylococcus epidermidis,Staphylococcus epidermidis,R,R,S,R,R,R,R,R,-,R,-,-,-,-,-,-,-,S,-,-,-,R,-,R,-,-,-,-,R,-,-,S,R,-,-,-,-,-,-,R,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,S,S,-,-,-,R,-,-,-,-,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-
752a35df-1cf9-4671-9ca6-8fa31958caa0_MALDI2,Enterococcus faecium,Enterococcus faecium,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,R,-,-,R,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I,-,-,-,-,S,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
225fe871-9c36-41b6-b738-5bc2831ea835_MALDI2,Staphylococcus epidermidis,Staphylococcus epidermidis,R,R,S,R,R,R,R,R,-,R,-,-,-,-,-,-,-,S,-,-,-,R,-,R,-,-,-,-,R,-,-,S,R,-,-,-,-,-,-,R,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,S,S,-,-,-,R,-,-,-,-,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5a48459f-89b4-4ce2-a347-ecf157278cf9_MALDI2,Klebsiella oxytoca,Klebsiella oxytoca,-,R,-,R,S,S,S,S,-,R,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,R,S,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
b90c18a0-184b-40ff-b7f4-bdeec2aaefe1_MALDI2,Staphylococcus epidermidis,Staphylococcus epidermidis,R,R,S,R,R,R,R,R,-,R,-,-,-,-,-,-,-,S,-,-,-,R,-,R,-,-,-,-,R,-,-,S,R,-,-,-,-,-,-,R,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,R,S,-,-,-,R,-,-,-,-,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-
e6e90e93-860f-4f64-82b0-510d47c4a5b3_MALDI2,Staphylococcus epidermidis,Staphylococcus epidermidis,R,R,S,R,R,R,R,R,-,R,-,-,-,-,-,-,-,S,-,-,-,R,-,R,-,-,-,-,R,-,-,S,R,-,-,-,-,-,-,R,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,S,S,-,-,-,R,-,-,-,-,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6c5a1eb0-d965-4558-9ac8-b36d9122746a_MALDI2,MIX!Achromobacter piechaudii,Achromobacter species,-,-,-,S,S,S,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
452a5ecd-e897-4bf4-ac70-0672a960c411_MALDI2,Staphylococcus epidermidis,Staphylococcus epidermidis,R,R,S,R,R,R,R,R,-,R,-,-,-,-,-,-,-,S,-,-,-,R,-,R,-,-,-,-,S,-,-,S,R,-,-,-,-,-,-,S,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,S,S,-,-,-,R,-,-,-,-,R,R,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-
b63e76da-1260-4a67-8e66-9ef450766c03_MALDI2,Klebsiella oxytoca,Klebsiella oxytoca,-,S,-,S,S,S,S,S,-,S,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a49594be-12bb-4cfa-b077-92376100e1c8_MALDI2,Escherichia coli,Escherichia coli,-,S,-,S,S,S,S,S,-,S,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,S,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a66a22a7-ed94-4732-bab7-8315c7b97496_MALDI2,Proteus mirabilis,Proteus mirabilis,-,S,-,S,S,S,S,S,-,S,R,S,S,-,-,-,-,-,S,-,S,R,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9194af4c-db55-4384-a39c-495c7023daa6_MALDI2,Klebsiella oxytoca,Klebsiella oxytoca,-,R,-,R,S,S,S,S,-,R,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6a3558f3-79c4-4fdf-be95-85264a19ae38_MALDI2,Citrobacter koseri,Citrobacter koseri,-,S,-,-,S,S,S,S,-,S,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,S,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3abdc733-4c32-47c9-a13c-759bc0d46f1c_MALDI2,Klebsiella variicola,Klebsiella variicola,-,S,-,S,S,S,S,S,-,S,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,S,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10142ccf-4167-41ff-8676-1caebe560296_MALDI2,Enterobacter asburiae,Enterobacter cloacae-Gruppe,-,S,-,R,S,S,S,S,-,R,S,S,S,-,-,-,-,-,S,-,S,S,-,-,-,-,-,-,-,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,R,S,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
